,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
AC004241.4,0.9598,0.040200000000000014,3.172857695461819,2.2698133e-07,3.5470066e-07,0.0,0.25,-0.47053584,-0.67652607,6.172356,-22.886143,29.532255,0.0014115047,0.0008406952,0.005,0.0025,0.011782432,0.006969603,True,18 vs 08,18,08
AC090607.2,0.9584,0.04159999999999997,3.1371648301434383,2.0456114e-06,2.4221476e-06,0.0,0.25,0.005325464,-0.033763885,5.6921515,-20.856483,25.67405,0.0032860101,0.0022438723,0.01,0.005,0.02589931,0.019187214,True,18 vs 08,18,08
FRZB,0.955,0.04500000000000004,3.0550486389594163,2.7487672e-06,2.3338723e-06,0.0,0.25,0.21599272,0.10527229,5.131827,-19.585546,23.956635,0.0036894965,0.0,0.01,0.0,0.032595918,0.0,True,18 vs 08,18,08
AP003900.1,0.9518,0.04820000000000002,2.982995710668006,2.8549848e-06,2.0508426e-06,0.0,0.25,0.2753618,0.17936134,4.7745304,-19.59303,23.449581,0.0020522818,0.0042525013,0.005,0.01,0.018774034,0.03832246,True,18 vs 08,18,08
ALB,0.9518,0.04820000000000002,2.982995710668006,1.6204562e-05,9.1774245e-06,0.0,0.25,0.4861031,0.53110886,3.950195,-12.408049,11.864062,0.035889182,0.0148961255,0.0425,0.03,0.35875577,0.14504434,True,18 vs 08,18,08
AC021086.1,0.9492,0.050799999999999956,2.9277229836619862,8.4121945e-07,1.121154e-06,0.0,0.25,-0.23200129,-0.3348713,4.4888334,-15.846872,21.240274,0.0,0.0029680275,0.0,0.005,0.0,0.033598974,True,18 vs 08,18,08
AC105020.5,0.9488,0.05120000000000002,2.9194583114251467,1.2131724e-06,1.2284157e-06,0.0,0.25,0.04052607,-0.08165169,5.088433,-21.73033,24.074633,0.0019122463,0.0027426882,0.005,0.01,0.016744496,0.022974323,True,18 vs 08,18,08
AC005224.3,0.9478,0.052200000000000024,2.8990608336247803,2.3069401e-06,2.0970042e-06,0.0,0.25,0.56133896,0.5257225,5.232258,-24.352915,27.71637,0.0021484848,0.0014769941,0.005,0.005,0.017453933,0.012206019,True,18 vs 08,18,08
SERPINB5,0.9474,0.05259999999999998,2.8910050911871408,1.4155951e-06,1.1097968e-06,0.0,0.25,-0.03177442,-0.027781487,3.5868669,-13.238815,14.3718195,0.0033984862,0.0024714095,0.0075,0.005,0.033111073,0.023998966,True,18 vs 08,18,08
AC087045.3,0.9468,0.053200000000000025,2.879029303884215,1.04517085e-05,1.9586589e-05,0.0,0.25,-0.8222987,-0.92324734,3.5637422,-13.127346,10.9667225,0.004838878,0.0118896775,0.0175,0.0325,0.04434162,0.11300329,True,18 vs 08,18,08
