,gene,00 vs 01_lfc_mean,00 vs 02_lfc_mean,00 vs 04_lfc_mean,00 vs 08_lfc_mean,00 vs 18_lfc_mean,01 vs 02_lfc_mean,01 vs 04_lfc_mean,01 vs 08_lfc_mean,01 vs 18_lfc_mean,02 vs 04_lfc_mean,02 vs 08_lfc_mean,02 vs 18_lfc_mean,04 vs 08_lfc_mean,04 vs 18_lfc_mean,08 vs 18_lfc_mean,00 vs 01_lfc_median,00 vs 02_lfc_median,00 vs 04_lfc_median,00 vs 08_lfc_median,00 vs 18_lfc_median,01 vs 02_lfc_median,01 vs 04_lfc_median,01 vs 08_lfc_median,01 vs 18_lfc_median,02 vs 04_lfc_median,02 vs 08_lfc_median,02 vs 18_lfc_median,04 vs 08_lfc_median,04 vs 18_lfc_median,08 vs 18_lfc_median,00 vs 01_lfc_std,00 vs 02_lfc_std,00 vs 04_lfc_std,00 vs 08_lfc_std,00 vs 18_lfc_std,01 vs 02_lfc_std,01 vs 04_lfc_std,01 vs 08_lfc_std,01 vs 18_lfc_std,02 vs 04_lfc_std,02 vs 08_lfc_std,02 vs 18_lfc_std,04 vs 08_lfc_std,04 vs 18_lfc_std,08 vs 18_lfc_std
CAHM,,0.2019014,0.35869464,0.52011824,0.49028862,0.32823044,0.14977281,0.2739479,0.26972622,0.1188756,0.14871848,0.15185976,-0.0071823616,-0.015149248,-0.16874883,-0.12687288,0.185215,0.35750103,0.5371852,0.43818235,0.3144493,0.15412998,0.3103528,0.2686534,0.12895203,0.1490879,0.13574076,-0.01337719,-0.031885147,-0.17937756,-0.14324379,1.1722585,1.0195535,1.1231815,1.1287743,1.0583423,1.1910176,1.2395034,1.2499712,1.2338609,1.1249901,1.1349142,1.1059554,1.2347614,1.2070761,1.215989
MAP3K20,,-0.33130637,-0.3647754,-0.49425304,-0.37761778,-0.33642536,-0.038618334,-0.18002418,-0.07604023,-0.02851001,-0.14206745,-0.037243433,0.0366966,0.11076803,0.15533552,0.03324446,-0.34090757,-0.3868804,-0.52148676,-0.4218812,-0.36068678,-0.0379467,-0.19367313,-0.085762024,-0.033890724,-0.17894793,-0.07661152,0.002910614,0.09361887,0.1621027,0.05273819,0.81720954,0.7757799,0.83557034,0.8453416,0.8434667,0.7726454,0.82690376,0.8305821,0.84474283,0.78881913,0.8036944,0.7909147,0.841594,0.8330323,0.84594077
PLXDC2,,-0.20699783,-0.09048626,-0.21348561,-0.30226716,-0.20768279,0.11408971,-0.06339973,-0.13709302,-0.008829245,-0.137874,-0.18593696,-0.11021726,-0.062321886,0.034525074,0.115873575,-0.24124432,-0.10246372,-0.22693253,-0.32926083,-0.25055265,0.13294744,-0.050955772,-0.13879967,0.013196945,-0.14394999,-0.20974874,-0.15524673,-0.065202236,0.026763916,0.11529827,1.1227641,1.0457523,1.0672628,1.1436596,1.0824318,1.0850885,1.0948536,1.1735843,1.1256406,1.0051173,1.0753152,1.0097668,1.0658157,1.0748831,1.1009234
NECTIN4,,0.061919495,0.16405988,0.13064958,-0.0140579175,-0.111036435,0.111578494,0.064607926,-0.07122108,-0.15973087,-0.036406063,-0.18139791,-0.26552656,-0.1455947,-0.23969726,-0.07937953,0.078589916,0.16445875,0.14963007,0.0020589828,-0.09756327,0.101968765,0.0593462,-0.067902565,-0.16069269,-0.03039217,-0.16958523,-0.26195526,-0.14603949,-0.23717928,-0.08685589,0.46390632,0.4228098,0.47373164,0.4553094,0.4480672,0.44956878,0.47673675,0.47821862,0.4664691,0.4646845,0.44952896,0.44282517,0.49845502,0.49178082,0.4893743
CYP4F22,,-0.12116322,-0.36688,-0.57280564,-1.113496,-1.8774558,-0.2830754,-0.45132574,-0.99964774,-1.7795248,-0.21365918,-0.7441536,-1.52501,-0.5764796,-1.3403726,-0.76990086,-0.13598204,-0.37441015,-0.60501957,-1.1779537,-1.9775786,-0.25204897,-0.46611738,-1.0402756,-1.8321929,-0.25451946,-0.78417206,-1.6062431,-0.58350086,-1.3721037,-0.8090935,0.86110836,0.7982705,0.9294088,1.0016237,1.0562268,0.9014199,0.9796634,1.0562901,1.123122,0.9529089,1.0110191,1.062223,1.1139271,1.1796502,1.2391922
LINC01569,,0.039698955,-0.038606808,0.038441423,-0.047378853,0.055089075,-0.079028055,0.009704048,-0.08099343,0.012704402,0.08154744,0.014779573,0.101095274,-0.081410386,0.023772333,0.11646885,0.048309326,-0.040044308,0.027150154,-0.056699753,0.04918337,-0.10105944,-0.004662037,-0.08603144,0.004779339,0.07218933,-0.0015745163,0.10324478,-0.078241825,0.017411709,0.11607838,0.57808614,0.54488355,0.5781784,0.5975723,0.59110653,0.5925757,0.6106212,0.62129515,0.6157545,0.58541906,0.6041386,0.5865478,0.6176696,0.60616446,0.62712157
MCM8,,-0.18201546,-0.10657667,-0.18457527,0.0713408,0.12353045,0.067249924,-0.03759413,0.2201628,0.29751533,-0.0945115,0.16008446,0.24293326,0.25707403,0.32057452,0.038136292,-0.15790176,-0.0993166,-0.20143509,0.058884144,0.12252283,0.06918812,-0.062427998,0.23592281,0.29659033,-0.11675787,0.1425767,0.253304,0.27518702,0.346622,0.03168392,0.7575087,0.7194867,0.76694924,0.78513026,0.79355377,0.74221593,0.77757174,0.8062697,0.8011346,0.74081147,0.76694393,0.76478297,0.791566,0.7993261,0.8163816
FAM109B,,-0.024424335,-0.034807146,0.01400433,0.15553361,0.14071977,-0.020477047,0.023407912,0.16648373,0.15972506,0.04688933,0.19339864,0.19486186,0.1416778,0.13464564,-0.023814654,-0.019350052,-0.02240038,0.014458656,0.15413141,0.15300131,-0.012254238,0.021535397,0.16952038,0.16484308,0.042803764,0.17399263,0.19580746,0.13675213,0.13892984,-0.015055656,0.39630535,0.3749093,0.40665147,0.4330817,0.43186775,0.4362401,0.45397958,0.47473416,0.48758072,0.43498823,0.4583426,0.46404442,0.4812656,0.47974998,0.5043357
MSX2,,-0.133355,-0.2546129,-0.35651228,-0.41192788,-0.3925419,-0.11591808,-0.20875454,-0.28245208,-0.25717843,-0.09819778,-0.1571412,-0.14794494,-0.056041162,-0.034619037,0.017242081,-0.14664078,-0.2689042,-0.35667562,-0.43114567,-0.39804363,-0.11529875,-0.21092129,-0.29159498,-0.25601292,-0.093354225,-0.16330338,-0.14674139,-0.061030388,-0.048079967,0.016239643,0.30103454,0.29530486,0.3281964,0.35691413,0.3610885,0.3182081,0.34608257,0.375309,0.38584816,0.34419337,0.3743218,0.38693994,0.39869735,0.41676998,0.44212776
AC127024.8,,0.24109606,0.49516302,0.6670278,1.1644093,1.5776294,0.27216983,0.41556942,0.9122316,1.3161347,0.13553211,0.6271533,1.0240612,0.52726495,0.8668933,0.349777,0.25561237,0.50819016,0.7025442,1.1798153,1.5700169,0.28439713,0.43756294,0.91057205,1.3255558,0.11520386,0.61939144,0.98865795,0.5238676,0.85911465,0.3317356,1.3730806,1.2332134,1.272599,1.3769677,1.492649,1.369558,1.423027,1.486897,1.6389605,1.3088233,1.4305444,1.5380892,1.454286,1.569127,1.6962776
