,00 vs 02,01 vs 08,02 vs 08,00 vs 18,01 vs 02,02 vs 04,00 vs 01,04 vs 08,04 vs 18,00 vs 08,08 vs 18,00 vs 04,01 vs 18,01 vs 04,02 vs 18
AC144450.1,0.45628536,0.18601473,0.1897874,0.73225045,0.016585786,-0.12807812,0.47106037,0.26422194,0.30917954,0.5559343,0.06428756,0.23819567,0.2710094,-0.15574668,0.13548522
HMGB1P40,-0.123482496,-0.27992937,-0.08574096,-0.15824811,-0.15412347,0.07363505,-0.0032191062,-0.13487324,-0.07365239,-0.26172516,0.09359989,-0.1449802,-0.19492963,-0.14158137,-0.03297666
RASGEF1B,-0.43542907,0.28916895,0.33040598,0.108052835,-0.04055395,0.038727496,-0.3921292,0.27774438,0.49105868,-0.105019495,0.22521354,-0.38115948,0.5179193,0.019975334,0.5289615
FBP1,0.24021086,0.5099939,0.4672705,0.8563884,0.008940599,0.3747339,0.23068298,0.102524646,0.2755542,0.73865825,0.14265637,0.6215254,0.61776054,0.38202,0.6404746
JPH1,-0.17872857,0.35084614,0.34724176,0.265697,0.0038175983,0.04049744,-0.16920887,0.28847894,0.38638785,0.16693646,0.093200184,-0.110145316,0.4644796,0.06823879,0.44552296
TPM1,-0.14827679,-0.6067665,-0.5017301,-0.9036368,-0.1090865,-0.21149614,-0.048264142,-0.28256825,-0.54282165,-0.6520752,-0.25395393,-0.3824325,-0.86894727,-0.32553133,-0.75188875
AL683813.1,-0.30726925,0.42185512,0.09007923,0.17361662,0.33524147,-0.42425698,-0.618569,0.4749886,0.75147146,-0.32581872,0.4031611,-0.6986693,0.8514335,-0.017708294,0.42024952
AC092910.1,0.46221626,0.7440202,0.586397,1.5898948,0.1369227,0.4320772,0.305748,0.19105034,0.7139603,1.0341402,0.54169714,0.81157583,1.2275953,0.51791245,1.0812011
STAT3,-0.09407235,-0.3506707,-0.33900347,-0.63415104,-0.009185303,-0.16920123,-0.087379,-0.16986881,-0.38592994,-0.43815175,-0.19866523,-0.27200028,-0.55098885,-0.17938754,-0.5524761
RAP2C,0.112213865,0.30694202,0.23179539,0.3559189,0.07024323,0.129944,0.04147081,0.096118435,0.111311436,0.33646876,0.01680865,0.2428291,0.32058865,0.20723741,0.24603845
CXCL3,0.6398984,0.7663937,0.698848,1.3291515,0.08557857,0.66572326,0.5201371,0.05339754,0.103492625,1.3168393,0.039137527,1.2072389,0.7689591,0.68665934,0.6917345
SLITRK5,0.16658671,1.277699,1.0171419,1.4575753,0.23062971,0.48683456,-0.043852095,0.501795,0.75662386,1.1893296,0.26353797,0.68509257,1.5161924,0.73258674,1.2520596
NEB,0.22549902,0.44324288,0.12536563,0.33365604,0.32090807,-0.0043630158,-0.09375042,0.11728729,0.035829466,0.2955832,-0.0017936807,0.19902885,0.428579,0.31983745,0.04412926
S100P,-0.23956627,-0.66917026,-0.45374805,-0.85559005,-0.22301656,-0.14361638,-0.02472548,-0.2922244,-0.44547853,-0.6715984,-0.16557492,-0.4030625,-0.8487044,-0.38300323,-0.60235995
AARD,-0.17563549,0.9556424,0.8254867,1.2928058,0.1421836,0.16526456,-0.30717874,0.6536136,1.2603046,0.6220801,0.6448542,-0.00052747707,1.6200927,0.31835032,1.4267844
CEACAM5,-0.49881846,0.019505447,0.34384918,0.3048692,-0.31917888,0.1269509,-0.18242636,0.22014168,0.69183195,-0.17861143,0.47301835,-0.40705872,0.4805713,-0.2201242,0.8150112
IRX2,-0.32995394,-0.5803694,-0.4145767,-0.80989814,-0.15591355,-0.2725945,-0.17068517,-0.13632777,-0.21389136,-0.74126875,-0.0676978,-0.60739714,-0.6343833,-0.43489498,-0.48768276
UBQLNL,0.13731626,-0.15604293,-0.26406947,-0.0737701,0.08311845,-0.16511989,0.07006095,-0.09191978,-0.13087818,-0.14026728,0.02105472,-0.08123682,-0.1707498,-0.12033133,-0.32348052
MAFB,-1.0909129,-1.5569836,-1.0994045,-2.1073067,-0.43098003,-0.75990665,-0.66078705,-0.31647113,-0.29220647,-2.1974444,0.06539881,-1.8724959,-1.4638475,-1.2166861,-1.0418863
CD44,-0.11801781,0.054505322,0.029478112,-0.016246647,0.013907683,0.020498972,-0.13920441,0.0077289217,0.06286025,-0.0999502,0.06815848,-0.10794093,0.10253025,0.03318621,0.09152638
