,0
0,ACBD5
1,SEL1L
2,PITPNM2
3,CDC25A
4,SPINK5
5,PPM1M
6,RDH16
7,CEBPB-AS1
8,AL450306.1
9,DUSP13
10,TAC3
11,CST4
12,IFI27
13,GADD45A
14,LGALS3BP
15,AC093323.1
16,MYO10
17,ARL4D
18,SLITRK5
19,GPC6
20,CEP152
21,CTF1
22,MIR600HG
23,DUSP1
24,CKS2
25,IVNS1ABP
26,PARP9
27,AC092809.4
28,FBXW12
29,PLXND1
30,AC092807.2
31,MT-CO2
32,RHOXF1-AS1
33,DNA2
34,DNAJC22
35,KRT19
36,FOXO3
37,ARRDC3
38,FAM225A
39,AL138759.1
40,ZSCAN16-AS1
41,KIAA1551
42,TLE1
43,ID1
44,ASH1L-AS1
45,SPRY1
46,EGR3
47,TESK2
48,DEPDC1
49,NDRG1
50,PLAC8L1
51,KRBOX1
52,AL132780.5
53,PIF1
54,AC021739.2
55,FRS2
56,UNG
57,AC025198.1
58,ANK1
59,CKAP2L
60,ARHGEF26
61,MAP3K20
62,MYB
63,AC073352.1
64,LINC01116
65,SMR3A
66,ACVR1C
67,AC004466.3
68,SQOR
69,SERPINI1
70,AP003900.1
71,KIAA0040
72,ADAT1
73,AC106028.2
74,AL512408.1
75,C18orf54
76,YAP1
77,FASN
78,ZNF652
79,TMEM86B
80,SOX2
81,TFAP2A
82,OSBPL5
83,LINC00282
84,PLLP
85,EMP1
86,KCNS3
87,CCND1
88,FMO3
89,DHRS2
90,CRYAB
91,SETD7
92,RIPPLY3
93,TIMP1
94,EDN2
95,EDIL3
96,PANX2
97,BLVRA
98,ASF1B
99,ORM1
100,BLVRB
101,NEIL3
102,SERTAD4
103,CXXC4
104,SNHG19
105,FMO5
106,MGP
107,NUP62
108,KIAA1024
109,PCF11
110,AL662844.4
111,AC012485.3
112,EDN1
113,TRIP13
114,LINC00173
115,TFEB
116,KCNG1
117,E2F1
118,USP1
119,NFIL3
120,CRACR2A
121,RAB31
122,MIR34AHG
123,AC087741.3
124,TBC1D8B
125,LRIG1
126,PIK3AP1
127,ZKSCAN1
128,HSPA8
129,AL080317.3
130,SAA1
131,CAPRIN2
132,AL928654.2
133,CFAP65
134,CLDN4
135,S1PR3
136,AC005393.1
137,MAVS
138,AC099063.2
139,HMGB1P40
140,MEX3A
141,ADAMTS15
142,NCCRP1
143,AC013731.1
144,NR2F2
145,LINC02303
146,LINC00839
147,LINC02109
148,FAM46C
149,EXPH5
150,SOWAHC
151,ELOVL5
152,AC159540.1
153,ADARB2
154,SLC27A2
155,RCAN1
156,TCF19
157,CDKN3
158,ONECUT2
159,HNMT
160,TCF7L1
161,NKX2-8
162,PTGER3
163,SYT8
164,USP51
165,BIRC3
166,AC025164.2
167,AC012360.2
168,CTSO
169,LITAF
170,PPL
171,LINC01697
172,MYO19
173,HIST2H2BE
174,AC078864.1
175,MAP3K1
176,SASH1
177,FADS3
178,TNNI3
179,AC104170.1
180,PLEKHH2
181,CYP1A1
182,HEG1
183,NET1
184,CPNE8
185,RHOB
186,ADRA2A
187,SPNS3
188,AC022075.1
189,TRPS1
190,SLC6A6
191,AC026366.1
192,ISG15
193,KRTAP3-1
194,WDR76
195,AP001992.1
196,AC239868.4
197,STAT5A
198,AC116407.1
199,RP11-763B22.4
200,AL158206.1
201,AC083967.1
202,IFI6
203,FBXO33
204,BCAS1
205,ANKRD37
206,DDX60L
207,SLC45A4
208,MFSD7
209,VSIR
210,SKAP2
211,PTGER1
212,AC079313.2
213,GALNT6
214,SERHL2
215,AC104984.3
216,MT-TI
217,CPA4
218,NPY1R
219,KIF11
220,B4GALNT3
221,KRT18P11
222,AC079949.1
223,PDCD4
224,NCEH1
225,EGR1
226,LAMB3
227,AC011005.1
228,KCNH3
229,SLC39A8
230,KRT5
231,MKI67
232,AC024267.6
233,TXNIP
234,BAMBI
235,LCMT1
236,GLYR1
237,ROBO2
238,TFE3
239,KIF26A
240,ANO6
241,TFF3
242,MAFB
243,HDAC7
244,HSD17B1
245,ARFGEF3
246,TAOK1
247,U47924.1
248,JUN
249,SLC38A2
250,S100P
251,OVOL3
252,AC080188.3
253,PIK3R1
254,AL354811.1
255,ATP1B1
256,CROCCP3
257,ITGAM
258,EPAS1
259,ERICH6
260,ACSS1
261,INHBE
262,JAK2
263,LAG3
264,GRIK3
265,AL353150.1
266,AC073842.2
267,RBM47
268,GRB10
269,DEPTOR
270,NPEPPS
271,NCOA3
272,CYP1B1
273,IL6ST
274,VEPH1
275,TSPY26P
276,AC012306.2
277,MUC16
278,STAT1
279,CEACAM6
280,FBXL20
281,LINC00471
282,PRCP
283,CFLAR
284,ARHGAP5
285,CBX3P1
286,GPR37L1
287,FSTL3
288,SLC22A23
289,AC006463.2
290,IL20RA
291,HSD11B2
292,POU6F2-AS2
293,AC233289.1
294,SMR3B
295,G2E3
296,AL031705.1
297,ADM
298,CYP2E1
299,HYLS1
300,KIF18A
301,FLRT3
302,HMGN5
303,ZNF714
304,SLC30A1
305,ZFP41
306,RASD2
307,APP
308,MALAT1
309,GP1BA
310,DAAM1
311,ATP6V1C2
312,CST11
313,TRIM59
314,MT1X
315,NR3C1
316,FRZB
317,JAG2
318,UBE2L6
319,KRT16
320,BUB1B
321,ABCA1
322,FUT8-AS1
323,TRAF3
324,MARVELD3
325,CD38
326,TRAM2
327,CYR61
328,LAMB1
329,AC138904.1
330,OSBPL9
331,SPAG5-AS1
332,SATB1-AS1
333,HMGCS2
334,AMPH
335,ATF3
336,AC092910.1
337,DOCK10
338,JPH1
339,SYTL2
340,HIST1H1D
341,ARHGEF3
342,MPPED2
343,FADS1
344,SAMD5
345,LINC01976
346,LMCD1
347,TPM1
348,CENPE
349,AL161729.3
350,AL353622.1
351,ASPG
352,PLEKHM1
353,LINC01118
354,CACUL1
355,TMEM87A
356,DTL
357,AC012557.1
358,ALDH3B1
359,LINC01018
360,FOXO1
361,ASAP1
362,AC091231.1
363,AL162586.1
364,MT-ND3
365,MID1IP1
366,HJURP
367,CPEB4
368,MGST3
369,NCAPD2
370,AC087289.2
371,ITGA2
372,MIR4292
373,SPTLC2
374,HIF1A-AS2
375,SOCS7
376,GCH1
377,KCNK6
378,C11orf70
379,ZFP36L2
380,PSPH
381,CEACAM5
382,TRIM56
383,AL590133.1
384,GAGE1
385,ID3
386,EGFR
387,PRKAR2A
388,CHN2
389,ALDH1A3
390,STMND1
391,AC127024.2
392,TM4SF1
393,CCNE2
394,TFAP2C
395,AC005838.2
396,CDKL5
397,LINC01863
398,AC138655.1
399,HILPDA
400,FAM214A
401,AC073611.1
402,ASNSP1
403,RNFT2
404,JAKMIP2
405,PIM3
406,EPB41L4A-AS2
407,AD000090.1
408,AC120114.4
409,KIRREL1
410,AC091965.4
411,BCAN
412,STRBP
413,PPP4R3A
414,ATP1A1
415,AC092069.1
416,ESPL1
417,AC024257.4
418,AC008663.2
419,PGC
420,FBXO32
421,FBP1
422,OAS1
423,BMS1P5
424,IGFBP2
425,DNAH7
426,ZBTB3
427,AL732292.2
428,MIPEPP3
429,AC018506.1
430,TENM3
431,AC025162.2
432,KPNA2
433,PLCD1
434,PTPN14
435,AC084024.3
436,PPP4R3CP
437,ATP5H
438,TMSB4X
439,AC087645.1
440,TVP23A
441,AP002001.1
442,FAM133A
443,CHST4
444,RASSF1-AS1
445,MYO18A
446,MAPT
447,CPN2
448,AC010504.1
449,JUNB
450,RPL21P50
451,WIPF3
452,VIPR1
453,DSP
454,AC010542.2
455,FAR2
456,LINC00992
457,DDX60
458,RBBP8
459,HSPB8
460,ATP6V1B1
461,PLXDC2
462,MYBL1
463,NBEA
464,C9orf3
465,JDP2
466,ZCCHC6
467,SRGN
